역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
223,교대(법원.검찰청),승차,19시-20시,"Lognormal(normalMean=6.892, normalStdDev=0.227)","(np.float64(0.2268758875004389), 1824.423779519001, np.float64(984.6794134429529))",152,"Triangular(min=242.288, mode=666.000, max=4183.016)","(np.float64(0.10752127459506775), np.float64(242.28793317477954), np.float64(3940.727715713342))",147,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,20시-21시,"Normal(mean=2234.483, stdDev=125.112)","(np.float64(2234.4827586206898), np.float64(125.11181776360758))",145,"Triangular(min=0.000, mode=2030.000, max=2342.950)","(np.float64(0.8664290071805681), 0, np.float64(2342.950181932309))",144,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,21시-22시,"Weibull(shape=3.806, scale=846.299)","(np.float64(3.806389030010587), np.float64(1640.6187730550314), np.float64(846.2985631140193))",195,"Triangular(min=0.000, mode=780.000, max=2994.329)","(np.float64(0.26049242771139053), 0, np.float64(2994.3288826234852))",156,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,22시-23시,"Weibull(shape=3.643, scale=842.391)","(np.float64(3.643298076894025), np.float64(1096.8839546487284), np.float64(842.3905973093626))",196,"Triangular(min=0.000, mode=1881.000, max=2280.441)","(np.float64(0.8248405089698838), 0, np.float64(2280.4408604583605))",156,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,23시-24시,"Weibull(shape=2.200, scale=272.990)","(np.float64(2.1996138979506092), np.float64(433.94605446623393), np.float64(272.990194457555))",152,"Triangular(min=56.578, mode=199.000, max=1301.044)","(np.float64(0.11444454655226556), np.float64(56.57758537340375), np.float64(1244.4665901204642))",144,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,24시-01시,"Triangular(min=0.000, mode=140.000, max=395.921)","(np.float64(0.35360577412204686), 0, np.float64(395.9211366773991))",157,"Triangular(min=0.000, mode=1.000, max=599.382)","(np.float64(0.001668384239257558), 0, np.float64(599.3816188054926))",130,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,01시-02시,"Weibull(shape=3.631, scale=25.709)","(np.float64(3.6306705075427566), np.float64(36.84448062635301), np.float64(25.70858944269679))",197,"Weibull(shape=3.601, scale=59.361)","(np.float64(3.6008367521396405), np.float64(4.750706471565881), np.float64(59.361463602430106))",154,주말,2,"['median', 'mode']"
223,교대(법원.검찰청),승차,02시-03시,"Triangular(min=33.827, mode=47.000, max=60.289)","(np.float64(0.49781501896420216), np.float64(33.8268615290436), np.float64(26.461914510475065))",196,"Triangular(min=13.257, mode=53.000, max=75.878)","(np.float64(0.6346623682087639), np.float64(13.257292074650149), np.float64(62.62023702415932))",154,주말,2,"['median', 'mode']"
223,교대(법원.검찰청),승차,03시-04시,"Weibull(shape=3.370, scale=16.776)","(np.float64(3.3702839407330494), np.float64(24.003378944460493), np.float64(16.77641935442012))",198,"Weibull(shape=4.187, scale=41.894)","(np.float64(4.187246887295727), np.float64(0.1336263659686597), np.float64(41.89377103420287))",153,주말,2,"['median', 'mode']"
223,교대(법원.검찰청),승차,04시-05시,"Weibull(shape=3.199, scale=13.091)","(np.float64(3.1988876807793893), np.float64(11.432434417591153), np.float64(13.090724156762406))",197,"Triangular(min=5.954, mode=26.000, max=39.519)","(np.float64(0.5972289667358983), np.float64(5.953668784512196), np.float64(33.56557091624421))",154,주말,2,"['median', 'mode']"
