역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
245,신답,하차,02시-03시,"Weibull(shape=3.574, scale=21.868)","(np.float64(3.573980245539792), np.float64(24.33536858898512), np.float64(21.867635702684808))",197,"Triangular(min=15.484, mode=52.000, max=69.607)","(np.float64(0.6746901095479803), np.float64(15.483912200168508), np.float64(54.12275542303062))",156,주말,3,"['mean', 'median', 'mode']"
245,신답,하차,03시-04시,"Triangular(min=22.056, mode=37.000, max=47.499)","(np.float64(0.5873474486773818), np.float64(22.055665341666696), np.float64(25.443772239402406))",202,"Weibull(shape=3.873, scale=33.914)","(np.float64(3.873006290965461), np.float64(5.254286723263078), np.float64(33.914215192187704))",155,주말,2,"['mean', 'median']"
245,신답,하차,04시-05시,"Weibull(shape=4.016, scale=18.697)","(np.float64(4.015715452857725), np.float64(17.56234118308226), np.float64(18.69651088891755))",201,"Weibull(shape=5.151, scale=37.694)","(np.float64(5.151494118721043), np.float64(-0.3236965510939911), np.float64(37.69381916641299))",155,주말,2,"['median', 'mode']"
246,신설동,하차,05시-06시,"Triangular(min=4.476, mode=14.000, max=20.548)","(np.float64(0.5925910378907413), np.float64(4.475503598437241), np.float64(16.072629872141306))",201,"Triangular(min=2.047, mode=11.000, max=19.010)","(np.float64(0.5278001100119543), np.float64(2.047250368001748), np.float64(16.96238680644312))",152,평일,3,"['mean', 'median', 'mode']"
246,신설동,하차,06시-07시,"Triangular(min=0.000, mode=86.000, max=100.642)","(np.float64(0.8545103975916836), 0, np.float64(100.64242667835524))",208,"Triangular(min=0.000, mode=1.000, max=114.536)","(np.float64(0.008730906352285602), 0, np.float64(114.53564602190954))",156,평일,2,"['mean', 'median']"
246,신설동,하차,07시-08시,"Triangular(min=0.000, mode=232.000, max=267.281)","(np.float64(0.867999297298778), 0, np.float64(267.2813223746282))",208,"Triangular(min=3.000, mode=3.000, max=272.931)","(np.float64(4.248454213156287e-07), np.float64(2.9998850490606372), np.float64(269.9314401438961))",147,평일,3,"['mean', 'median', 'mode']"
246,신설동,하차,08시-09시,"Triangular(min=0.000, mode=631.000, max=773.934)","(np.float64(0.8153147851855134), 0, np.float64(773.9342050307155))",208,"Gamma(alpha=34.890, beta=8.773)","(np.float64(34.89036078225298), np.float64(-200.19843321150825), np.float64(8.773270384084437))",118,평일,3,"['mean', 'median', 'mode']"
246,신설동,하차,09시-10시,"Triangular(min=79.567, mode=325.000, max=416.336)","(np.float64(0.7287863578017406), np.float64(79.56704738856175), np.float64(336.7694111749481))",204,"Weibull(shape=15.738, scale=1016.801)","(np.float64(15.738043279641031), np.float64(-728.5242891041559), np.float64(1016.8012027819213))",135,평일,3,"['mean', 'median', 'mode']"
246,신설동,하차,10시-11시,"Lognormal(normalMean=5.707, normalStdDev=0.064)","(np.float64(0.0640255732770002), -109.35245355494982, np.float64(301.05459169185855))",153,"Lognormal(normalMean=15.249, normalStdDev=0.000)","(np.float64(1.9709283491106472e-05), -4192424.8999009016, np.float64(4192787.708610352))",126,주말,3,"['mean', 'median', 'mode']"
246,신설동,하차,11시-12시,"Lognormal(normalMean=4.706, normalStdDev=0.227)","(np.float64(0.22726285264800963), 72.82141443263491, np.float64(110.63449074455713))",164,"Triangular(min=77.318, mode=398.000, max=484.823)","(np.float64(0.7869394059738422), np.float64(77.3176844424681), np.float64(407.5057280443694))",153,주말,3,"['mean', 'median', 'mode']"
246,신설동,하차,12시-13시,"Weibull(shape=2.992, scale=52.624)","(np.float64(2.9915546526794623), np.float64(133.14537880159656), np.float64(52.624153442913))",188,"Triangular(min=47.442, mode=397.000, max=516.395)","(np.float64(0.7454000587941461), np.float64(47.44218648473203), np.float64(468.95329479096694))",156,주말,3,"['mean', 'median', 'mode']"
246,신설동,하차,13시-14시,"Weibull(shape=3.381, scale=90.379)","(np.float64(3.3812912955309673), np.float64(123.7154996428298), np.float64(90.37899450646609))",197,"Weibull(shape=2.135, scale=165.904)","(np.float64(2.134579876937925), np.float64(168.30704298264078), np.float64(165.90367697474318))",154,주말,3,"['mean', 'median', 'mode']"
246,신설동,하차,14시-15시,"Weibull(shape=3.544, scale=72.063)","(np.float64(3.543964545283213), np.float64(114.67809034790284), np.float64(72.06321038838138))",201,"Weibull(shape=3.191, scale=186.749)","(np.float64(3.191483633022928), np.float64(109.04844162673326), np.float64(186.7488348993686))",153,주말,3,"['mean', 'median', 'mode']"
246,신설동,하차,15시-16시,"Triangular(min=140.097, mode=180.000, max=222.434)","(np.float64(0.484625489911219), np.float64(140.09748710320054), np.float64(82.33680177009907))",189,"Gamma(alpha=6.877, beta=15.995)","(np.float64(6.877222283041066), np.float64(135.40674626095762), np.float64(15.995261320988938))",144,주말,3,"['mean', 'median', 'mode']"
246,신설동,하차,16시-17시,"Weibull(shape=3.259, scale=55.641)","(np.float64(3.2588680532599), np.float64(114.49377543230301), np.float64(55.64069478818179))",201,"Weibull(shape=3.259, scale=103.173)","(np.float64(3.2591286687601504), np.float64(108.8431275352393), np.float64(103.17322741060573))",141,주말,3,"['mean', 'median', 'mode']"
246,신설동,하차,17시-18시,"Triangular(min=125.504, mode=207.000, max=260.205)","(np.float64(0.6050131699305201), np.float64(125.5039272721105), np.float64(134.70132020468026))",198,"Triangular(min=92.058, mode=209.000, max=296.188)","(np.float64(0.5728811078923064), np.float64(92.05810913514065), np.float64(204.12941710031987))",152,주말,3,"['mean', 'median', 'mode']"
246,신설동,하차,18시-19시,"Triangular(min=70.551, mode=317.000, max=383.301)","(np.float64(0.7880058578187802), np.float64(70.55088919368615), np.float64(312.7503537667663))",208,"Lognormal(normalMean=4.993, normalStdDev=0.339)","(np.float64(0.3393797357096574), 14.92058030908169, np.float64(147.34294120277167))",135,평일,3,"['mean', 'median', 'mode']"
246,신설동,하차,19시-20시,"Weibull(shape=3.248, scale=58.329)","(np.float64(3.2475119953053433), np.float64(157.68617095078548), np.float64(58.328706807886284))",183,"Triangular(min=57.739, mode=126.000, max=285.280)","(np.float64(0.2999946250503761), np.float64(57.738836168000766), np.float64(227.5412895170623))",156,평일,3,"['mean', 'median', 'mode']"
246,신설동,하차,20시-21시,"Normal(mean=145.292, stdDev=20.130)","(np.float64(145.2922077922078), np.float64(20.130394840249778))",154,"Triangular(min=64.315, mode=117.000, max=195.092)","(np.float64(0.40285941455645646), np.float64(64.31538685732164), np.float64(130.77667104281755))",141,평일,3,"['mean', 'median', 'mode']"
246,신설동,하차,21시-22시,"Lognormal(normalMean=5.096, normalStdDev=0.096)","(np.float64(0.09595936270792295), -44.23877992785267, np.float64(163.3962875036752))",159,"Weibull(shape=3.573, scale=57.624)","(np.float64(3.573178409395484), np.float64(59.979783917264335), np.float64(57.624285648516306))",135,평일,3,"['mean', 'median', 'mode']"
