역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
210,뚝섬,하차,18시-19시,"Triangular(min=288.207, mode=828.000, max=2649.960)",0.08557,0.209694,150,성공
210,뚝섬,하차,19시-20시,"Triangular(min=232.713, mode=521.000, max=1899.992)",0.113758,0.033359,155,실패
210,뚝섬,하차,20시-21시,"Gamma(alpha=16.087, beta=30.476)",0.073741,0.457746,130,성공
210,뚝섬,하차,21시-22시,"Weibull(shape=2.632, scale=248.179)",0.067749,0.542416,135,성공
210,뚝섬,하차,22시-23시,"Weibull(shape=3.286, scale=326.275)",0.06162,0.593105,151,성공
210,뚝섬,하차,23시-24시,"Weibull(shape=2.431, scale=216.182)",0.075301,0.353251,148,성공
210,뚝섬,하차,24시-01시,"Triangular(min=0.000, mode=1.000, max=454.198)",0.331875,0.0,146,실패
210,뚝섬,하차,01시-02시,"Triangular(min=6.064, mode=15.000, max=29.686)",0.061549,0.594565,151,성공
210,뚝섬,하차,02시-03시,"Weibull(shape=3.523, scale=15.071)",0.082791,0.231951,153,성공
210,뚝섬,하차,03시-04시,"Weibull(shape=2.736, scale=10.131)",0.081943,0.255499,149,성공
210,뚝섬,하차,04시-05시,"Weibull(shape=2.960, scale=9.715)",0.07232,0.378194,154,성공
211,성수,하차,05시-06시,"Triangular(min=18.952, mode=22.000, max=217.248)",0.138966,0.004328,156,실패
211,성수,하차,06시-07시,"Triangular(min=0.000, mode=1312.000, max=1454.508)",0.483447,0.0,156,실패
211,성수,하차,07시-08시,"Normal(mean=304.593, stdDev=186.898)",0.120459,0.059813,118,성공
